price,postcode,bedrooms,baths,receptions,station,parking,garage,balcony,terrace,garden,porter,security,concierge,new,pre_owned,type_of_building,fireplace,wood_floors,listed,agent
1990000.0,wc1x,3.0,2.0,1.0,farringdon (0.4 miles),no,no,no,yes,no,no,no,yes,yes,no,flat,no,no,23rd apr 2021,"savills - clerkenwell, ec1v"
880000.0,se1,2.0,2.0,1.0,bermondsey (0.7 miles),yes,no,yes,yes,yes,no,no,yes,yes,no,flat,no,no,23rd apr 2021,"property king kent ltd, da1"
625000.0,e14,1.0,1.0,1.0,crossharbour & london arena (0.0 miles),no,no,yes,no,no,no,no,yes,yes,no,flat,no,no,23rd apr 2021,"mylondonhome - canary wharf, e14"
775000.0,n1,2.0,2.0,1.0,essex road (0.5 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,23rd apr 2021,"stone real estate, w1w"
557500.0,se17,1.0,1.0,1.0,elephant & castle (0.3 miles),no,no,yes,no,yes,no,yes,no,yes,no,flat,no,no,23rd apr 2021,"notting hill genesis - manor place depot, se17"
850000.0,e1w,1.0,1.0,1.0,shadwell (0.4 miles),yes,no,yes,no,yes,no,no,yes,yes,no,flat,no,no,23rd apr 2021,"mylondonhome - canary wharf, e14"
1225000.0,w6,2.0,2.0,1.0,hammersmith (d & p) (0.4 miles),no,no,yes,no,no,no,yes,yes,yes,no,flat,no,no,23rd apr 2021,"savills - bishops park, sw6"
695000.0,se8,3.0,2.0,1.0,surrey quays (0.6 miles),yes,no,yes,yes,yes,no,yes,no,yes,no,flat,no,no,23rd apr 2021,"lendlease - deptford landings, se8"
350000.0,sw6,1.0,1.0,1.0,putney bridge (0.3 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,23rd apr 2021,"knight frank - fulham sales, sw6"
1595000.0,sw10,2.0,2.0,1.0,imperial wharf (0.2 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,23rd apr 2021,"dexters new homes - mayfair, w1k"
465000.0,sw6,1.0,1.0,1.0,putney bridge (0.3 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,23rd apr 2021,"knight frank - fulham sales, sw6"
715000.0,w10,2.0,2.0,1.0,queen's park (0.4 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,yes,23rd apr 2021,"pioneer property group, n12"
325000.0,sw18,,1.0,1.0,wandsworth town (0.5 miles),no,no,no,no,no,no,no,no,yes,no,studio,no,yes,22nd apr 2021,"strawberry star - nine elms, sw8"
