price,postcode,bedrooms,baths,receptions,station,parking,garage,balcony,terrace,garden,porter,security,concierge,new,pre_owned,type_of_building,fireplace,wood_floors,listed,agent
1950000.0,nw3,3,2.0,2.0,chalk farm (0.3 miles),no,no,no,no,no,no,no,no,yes,no,terrace house,no,no,22nd apr 2021,"house collective, nw1"
1175000.0,nw1,3,3.0,1.0,kentish town (0.4 miles),no,no,no,no,no,no,no,no,yes,no,,no,no,21st apr 2021,"savills - hackney wick fish island rds, e9"
1250000.0,nw1,3,3.0,1.0,kentish town (0.4 miles),no,no,no,no,no,no,no,no,yes,no,,no,no,21st apr 2021,"savills - hackney wick fish island rds, e9"
1375000.0,nw1,3,3.0,1.0,kentish town (0.4 miles),no,no,no,no,no,no,no,no,yes,no,,no,no,21st apr 2021,"savills - hackney wick fish island rds, e9"
1200000.0,se16,4,3.0,1.0,canada water (0.3 miles),yes,no,no,yes,yes,no,no,yes,yes,no,terrace house,no,yes,15th apr 2021,"ebl investment, e14"
1295000.0,w10,2,2.0,2.0,latimer road (0.5 miles),yes,no,no,no,yes,no,no,no,yes,no,terraced house,no,no,14th apr 2021,"strutt & parker - notting hill, w11"
1500000.0,n4,4,3.0,1.0,manor house (0.2 miles),no,no,no,no,no,no,no,yes,yes,no,detached house,no,no,14th apr 2021,"vanquish real estate, se18"
249950.0,se1,4,4.0,2.0,london bridge (0.5 miles),no,no,yes,yes,no,no,no,no,yes,no,,yes,no,14th apr 2021,"belvedere resorts, dg2"
249950.0,se16,4,4.0,2.0,surrey quays (0.1 miles),no,no,yes,yes,no,no,no,no,yes,no,,yes,no,14th apr 2021,"belvedere resorts, dg2"
1399950.0,n4,3,3.0,1.0,finsbury park (0.3 miles),no,no,no,yes,no,no,no,yes,yes,no,terraced house,no,yes,9th apr 2021,"lrc - london sales and letting agency, sw1p"
995000.0,sw4,2,2.0,1.0,clapham common (0.2 miles),no,no,no,no,no,no,no,no,yes,no,terraced house,no,no,7th apr 2021,"knight frank - wandsworth sales, sw17"
2350000.0,sw18,5,3.0,3.0,southfields (0.5 miles),yes,no,no,no,yes,no,no,no,yes,no,detached house,no,no,7th apr 2021,"knight frank - wimbledon sales, sw19"
2000000.0,n1,3,3.0,2.0,essex road (0.4 miles),no,no,no,no,yes,no,no,no,yes,no,terraced house,no,no,1st apr 2021,"savills - islington, n1"
1250000.0,nw1,3,3.0,1.0,kentish town (0.4 miles),no,no,no,no,yes,no,no,no,yes,no,terraced house,no,no,30th mar 2021,"neilson & bauer, n1"
