price,postcode,bedrooms,baths,receptions,station,parking,garage,balcony,terrace,garden,porter,security,concierge,new,pre_owned,type_of_building,fireplace,wood_floors,listed,agent
265000.0,se4,1 bed,1,,0.3 miles brockley,yes,no,no,no,yes,no,no,no,no,yes,maisonette,no,no,"listed on,  , 23rd apr 2021","streets ahead - crystal palace, view , agent,  properties"
410000.0,e2,1 bed,1 bath,1 reception,0.3 miles cambridge heath,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","keatons - shoreditch, view , agent,  properties"
1250000.0,sw7,2 beds,,1,0.2 miles gloucester road,no,no,yes,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","kaye & carey, view , agent,  properties"
400000.0,e8,1 bed,1 bath,1 reception,0.3 miles dalston junction,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","keatons - hackney (mare street), view , agent,  properties"
599999.0,e3,2 beds,1 bath,1 reception,0.6 miles hackney wick,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","keatons - bow, view , agent,  properties"
550000.0,e2,2 beds,1 bath,1 reception,0.2 miles bethnal green,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","keatons - bow, view , agent,  properties"
275000.0,e1,1 bed,1 bath,1 reception,0.3 miles stepney green,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","keatons - bow, view , agent,  properties"
895000.0,sw15,3 beds,2 baths,1 reception,0.2 miles putney pier,yes,no,yes,no,yes,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth putney, view , agent,  properties"
830000.0,sw6,2 beds,1 bath,1 reception,0.3 miles fulham broadway,no,no,no,yes,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","chestertons - parsons green, view , agent,  properties"
1200000.0,w2,3 beds,2 baths,1 reception,0.3 miles westbourne park,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","chestertons - notting hill, view , agent,  properties"
439950.0,sw11,1 bed,1 bath,1 reception,0.6 miles clapham junction,yes,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","lanigan estates, view , agent,  properties"
675000.0,nw1,3 beds,1 bath,1 reception,0.1 miles kentish town west,yes,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","olivers town - kentish town, view , agent,  properties"
650000.0,nw10,2 beds,1 bath,1 reception,0 miles kensal rise,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - kensal rise & queen's park, view , agent,  properties"
675000.0,se10,2 beds,2 baths,1 reception,0.3 miles cutty sark,yes,no,yes,no,no,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","life residential - greenwich, view , agent,  properties"
1000000.0,w1u,2 beds,1 bath,1 reception,0.2 miles baker street,no,no,no,yes,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","berkshire hathaway homeservices kay & co, view , agent,  properties"
620000.0,n7,2 beds,2 baths,1 reception,0.1 miles drayton park,no,no,yes,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - islington, view , agent,  properties"
525000.0,w6,1 bed,1 bath,1 reception,0.1 miles goldhawk road,no,no,no,no,yes,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","winkworth - hammersmith, view , agent,  properties"
425000.0,w14,2 beds,2 baths,1 reception,0.3 miles goldhawk road,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - hammersmith, view , agent,  properties"
465000.0,n8,2 beds,1 bath,1 reception,0.3 miles hornsey,no,no,no,yes,no,no,no,no,no,yes,flat,yes,no,"listed on,  , 23rd apr 2021","winkworth - harringay, view , agent,  properties"
1525000.0,nw3,2 beds,2 baths,2 receptions,0.6 miles west hampstead thameslink,yes,no,no,no,yes,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","jonathan arron residential, view , agent,  properties"
360000.0,se8,2 beds,1 bath,1 reception,0.2 miles deptford,yes,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - greenwich, view , agent,  properties"
1295000.0,w1b,2 beds,2 baths,1,0.1 miles regent's park,no,no,no,no,no,yes,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","savills - marylebone & fitzrovia, view , agent,  properties"
500000.0,nw3,2 beds,1 bath,1 reception,0.3 miles belsize park,no,no,no,no,yes,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","savills - primrose hill, view , agent,  properties"
535000.0,w2,1 bed,1,1,0.3 miles london paddington,yes,no,no,no,no,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","rayan investments & management, view , agent,  properties"
450000.0,sw11,3 beds,1 bath,1 reception,0.4 miles chelsea harbour pier,no,no,yes,no,no,no,no,no,no,yes,maisonette,no,no,"listed on,  , 23rd apr 2021","first union, view , agent,  properties"
1150000.0,w1w,2 beds,1 bath,1 reception,0.2 miles oxford circus,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","savills - marylebone & fitzrovia, view , agent,  properties"
1245000.0,sw10,2 beds,2 baths,1 reception,0.5 miles west brompton,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","russell simpson, view , agent,  properties"
325000.0,sw11,1 bed,1 bath,1 reception,0.3 miles chelsea harbour pier,no,no,yes,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","first union, view , agent,  properties"
425000.0,n4,2 beds,1 bath,1 reception,0.3 miles crouch hill,no,no,no,no,yes,no,no,no,no,yes,flat,yes,no,"listed on,  , 23rd apr 2021","david astburys, view , agent,  properties"
1650000.0,wc2r,2 beds,2 baths,1 reception,0.1 miles charing cross,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","cbre, view , agent,  properties"
740000.0,e14,2 beds,2 baths,1 reception,0.2 miles limehouse,yes,no,yes,no,no,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","savills - canary wharf, view , agent,  properties"
925000.0,sw6,3 beds,2 baths,1 reception,0.4 miles imperial wharf,no,no,no,yes,no,no,no,no,no,yes,flat,yes,no,"listed on,  , 23rd apr 2021","aspire - fulham south, view , agent,  properties"
700000.0,wc1x,1 bed,1 bath,1 reception,0.3 miles chancery lane,no,no,no,yes,yes,yes,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","savills - clerkenwell, view , agent,  properties"
765000.0,sw6,2 beds,1 bath,1 reception,0.1 miles parsons green,no,no,no,no,no,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","savills - bishops park, view , agent,  properties"
700000.0,w6,2 beds,2 baths,1 reception,0.2 miles hammersmith,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","savills - shepherds bush & brook green, view , agent,  properties"
415000.0,se22,2 beds,1 bath,1 reception,0 miles east dulwich,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","foxtons - dulwich, view , agent,  properties"
