price,postcode,bedrooms,baths,receptions,station,parking,garage,balcony,terrace,garden,porter,security,concierge,new,pre_owned,type_of_building,fireplace,wood_floors,listed,agent
925000.0,se15,3 beds,3 baths,1 reception,0.2 miles queens road (peckham),no,no,no,no,yes,no,no,no,no,yes,terrace house,no,no,"listed on,  , 23rd apr 2021","winkworth - forest hill and new cross, view , agent,  properties"
1700000.0,w2,3 beds,2 baths,2 receptions,0.2 miles edgware road bakerloo,no,no,no,yes,no,no,no,no,no,yes,terraced house,no,no,"listed on,  , 23rd apr 2021","fraser & co - paddington, view , agent,  properties"
1900000.0,sw6,4 beds,3 baths,1 reception,0.5 miles parsons green,no,no,yes,no,yes,no,no,no,no,yes,terraced house,no,no,"listed on,  , 23rd apr 2021","savills - fulham, view , agent,  properties"
1050000.0,n1,3 beds,3 baths,1 reception,0.4 miles caledonian road & barnsbury,no,no,yes,no,no,no,no,no,no,yes,,no,no,"listed on,  , 23rd apr 2021","daniel watney llp, view , agent,  properties"
750000.0,e3,3 beds,1 bath,1 reception,0.2 miles devons road,no,no,no,yes,yes,no,no,no,no,yes,terrace house,no,yes,"listed on,  , 23rd apr 2021","wj meade - bow, view , agent,  properties"
800000.0,n7,4 beds,1 bath,1 reception,0.5 miles arsenal,no,no,no,yes,yes,no,no,no,no,yes,terraced house,no,no,"listed on,  , 23rd apr 2021","purplebricks, head office, view , agent,  properties"
715000.0,se14,3 beds,1 bath,1 reception,0.3 miles new cross,no,no,no,yes,yes,no,no,no,no,yes,terraced house,no,no,"listed on,  , 23rd apr 2021","peter james, view , agent,  properties"
1300000.0,se22,5 beds,2 baths,3 receptions,0.5 miles east dulwich,no,no,no,yes,yes,no,no,no,no,yes,terraced house,yes,no,"listed on,  , 23rd apr 2021","knight frank - dulwich village sales, view , agent,  properties"
1200000.0,nw10,4 beds,2 baths,1 reception,0.1 miles kensal green,no,no,no,yes,yes,no,no,no,no,yes,terraced house,yes,no,"listed on,  , 23rd apr 2021","knight frank - queens park sales, view , agent,  properties"
2300000.0,n16,5 beds,,,0.5 miles canonbury,no,no,no,yes,yes,no,no,no,no,yes,terraced house,no,no,"listed on,  , 23rd apr 2021","savills - islington, view , agent,  properties"
1500000.0,sw6,4 beds,2 baths,1 reception,0.4 miles fulham broadway,no,no,no,yes,yes,no,no,no,no,yes,terraced house,no,no,"listed on,  , 23rd apr 2021","chestertons - munster road sales, view , agent,  properties"
1575000.0,sw12,5 beds,1 bath,2 receptions,0.4 miles clapham south,no,no,no,no,yes,no,no,no,no,yes,terraced house,yes,no,"listed on,  , 23rd apr 2021","savills - clapham, view , agent,  properties"
835000.0,se5,3 beds,1 bath,2 receptions,0.7 miles kennington,yes,no,no,no,yes,no,no,no,no,yes,terrace house,yes,yes,"listed on,  , 23rd apr 2021","wooster & stock, view , agent,  properties"
1750000.0,sw3,1 bed,1 bath,1 reception,0.2 miles cadogan pier,no,no,no,yes,yes,no,no,no,no,yes,terraced house,no,no,"listed on,  , 23rd apr 2021","john d wood & co. - chelsea green, view , agent,  properties"
595000.0,e3,3 beds,1 bath,1 reception,0.4 miles mile end,no,no,no,yes,no,no,no,no,no,yes,terraced house,no,yes,"listed on,  , 23rd apr 2021","peach properties, view , agent,  properties"
1195000.0,se15,4 beds,2 baths,,0.3 miles peckham rye,yes,no,yes,yes,yes,no,no,no,no,yes,terraced house,no,no,"listed on,  , 23rd apr 2021","munday's, london, view , agent,  properties"
2400000.0,w11,3 beds,2 baths,2 receptions,0.3 miles holland park,no,no,no,yes,yes,no,no,no,no,yes,terraced house,no,no,"listed on,  , 23rd apr 2021","knight frank - notting hill sales, view , agent,  properties"
725000.0,e14,4 beds,2 baths,1 reception,0.2 miles masthouse terrace pier,yes,yes,no,no,yes,no,no,no,no,yes,,no,no,"listed on,  , 23rd apr 2021","alex neil estate agents - canary wharf & docklands, view , agent,  properties"
